# Generated by scripts/generate-open-source-licenses.sh
Fira Code	6.2-103-ge50b177	SIL OFL-1.1
IBM Plex Sans	3.005	SIL OFL-1.1
Lilex	2.621	SIL OFL-1.1
accesskit	0.24.1	MIT OR Apache-2.0
addr2line	0.25.1	Apache-2.0 OR MIT
adler2	2.0.1	0BSD OR MIT OR Apache-2.0
aho-corasick	1.1.4	Unlicense OR MIT
aligned	0.4.3	MIT OR Apache-2.0
aligned-vec	0.6.4	MIT
alloca	0.4.0	MIT
allocator-api2	0.2.21	MIT OR Apache-2.0
android_system_properties	0.1.5	MIT/Apache-2.0
anes	0.1.6	MIT OR Apache-2.0
anstream	1.0.0	MIT OR Apache-2.0
anstyle	1.0.14	MIT OR Apache-2.0
anstyle-parse	1.0.0	MIT OR Apache-2.0
anstyle-query	1.1.5	MIT OR Apache-2.0
anstyle-wincon	3.0.11	MIT OR Apache-2.0
anyhow	1.0.102	MIT OR Apache-2.0
ar_archive_writer	0.5.1	Apache-2.0 WITH LLVM-exception
arbitrary	1.4.2	MIT OR Apache-2.0
arc-swap	1.9.1	MIT OR Apache-2.0
arg_enum_proc_macro	0.3.4	MIT
arrayref	0.3.9	BSD-2-Clause
arrayvec	0.7.6	MIT OR Apache-2.0
as-slice	0.2.1	MIT OR Apache-2.0
async-channel	1.9.0	Apache-2.0 OR MIT
async-channel	2.5.0	Apache-2.0 OR MIT
async-compression	0.4.42	MIT OR Apache-2.0
async-executor	1.14.0	Apache-2.0 OR MIT
async-fs	2.2.0	Apache-2.0 OR MIT
async-global-executor	2.4.1	Apache-2.0 OR MIT
async-io	2.6.0	Apache-2.0 OR MIT
async-lock	3.4.2	Apache-2.0 OR MIT
async-net	2.0.0	Apache-2.0 OR MIT
async-process	2.5.0	Apache-2.0 OR MIT
async-signal	0.2.14	Apache-2.0 OR MIT
async-std	1.13.2	Apache-2.0 OR MIT
async-tar	0.5.1	MIT/Apache-2.0
async-task	4.7.1	Apache-2.0 OR MIT
async_zip	0.0.18	MIT
atomic	0.5.3	Apache-2.0/MIT
atomic-waker	1.1.2	Apache-2.0 OR MIT
autocfg	1.5.1	Apache-2.0 OR MIT
av-scenechange	0.14.1	MIT
av1-grain	0.2.5	BSD-2-Clause
avif-serialize	0.8.9	BSD-3-Clause
backtrace	0.3.76	MIT OR Apache-2.0
base64	0.22.1	MIT OR Apache-2.0
bindgen	0.72.1	BSD-3-Clause
bit-set	0.8.0	Apache-2.0 OR MIT
bit-vec	0.8.0	Apache-2.0 OR MIT
bit_field	0.10.3	Apache-2.0/MIT
bitflags	1.3.2	MIT/Apache-2.0
bitflags	2.13.0	MIT OR Apache-2.0
bitstream-io	4.10.0	MIT/Apache-2.0
block	0.1.6	MIT
block-buffer	0.10.4	MIT OR Apache-2.0
blocking	1.6.2	Apache-2.0 OR MIT
borsh	1.6.1	MIT OR Apache-2.0
bstr	1.12.1	MIT OR Apache-2.0
built	0.8.1	MIT
bumpalo	3.20.3	MIT OR Apache-2.0
bytemuck	1.25.0	Zlib OR Apache-2.0 OR MIT
byteorder	1.5.0	Unlicense OR MIT
byteorder-lite	0.1.0	Unlicense OR MIT
bytes	1.11.1	MIT
bytesize	2.3.1	Apache-2.0
